nist_name,nist_hashkey,doi,paper_title,inferred_formula,csd_identifier,match_confidence,inference_confidence,reasoning,source,csd_formula,has_disorder
UTSA-20,NIST-MATDB-4b39f28ff94afb76df10889ef395b85c,10.1016/j.energy.2015.08.096,,(C120 H48 Cu12 O48)n,ONIXOZ,0.95,1.0,Direct CSD synonym → ONIXOZ,synonym_match,(C120 H48 Cu12 O48)n,False
SDU-6,NIST-MATDB-4f85440d6d4094ed428b9f705dc7dd2f,10.1021/Ic3015207,,C57 H36 Cu3 O13 Si1,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-5,NIST-MATDB-51571f13dd02e8fb7a4c8c6604fa351a,,,"(C6 H6 Co1 N4 O2)n,0.5n(C3 H7 N1 O1)",IPIHUM,0.95,1.0,Direct CSD synonym → IPIHUM,synonym_match,"(C6 H6 Co1 N4 O2)n,0.5n(C3 H7 N1 O1)",True
IFP-7,NIST-MATDB-56514a6199a2ce53fc3b4acafef4d3c0,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Basolite A100,NIST-MATDB-570bebaec3ca0785213d1e435e589c99,,,"(C8 H6 Al2 O10)n,8n(H2 O1)",DOYBEA,0.6,0.9,"Basolite A100 = MIL-53(Al); CSD synonym ""basolitea520"" → DOYBEA (Al-BDC)",knowledge_match,"(C8 H6 Al2 O10)n,8n(H2 O1)",False
Zr-BDC,NIST-MATDB-58f9cf6e0c11b86a1880fe23f2bb4bc7,10.1021/acs.iecr.7b03341,,(C48 H28 O32 Zr6)n,RUBTAK,0.85,0.9,"Zr-BDC = UiO-66, Zr6O4(OH)4(BDC)6, CSD RUBTAK formula verified",knowledge_match,(C48 H28 O32 Zr6)n,True
Zr-BPDC,NIST-MATDB-5a490878dfea56eff9a2015d234842f9,10.1021/acs.iecr.7b03341,,"(C42 H26 O16 Zr3)n,11.96(H2 O1)",HEKFOW,0.8,0.9,"Zr-BPDC = UiO-67, CSD synonym ""uio-67"" → HEKFOW confirmed",knowledge_match,"(C42 H26 O16 Zr3)n,11.96(H2 O1)",True
ZIF-93,NIST-MATDB-5a53918a0d77cc8dc4fdaed222acfb5f,10.1016/j.seppur.2019.115850,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Zr-FUM,NIST-MATDB-6963ee165f0c2f07cf592fa435a72c4b,10.1021/acs.iecr.7b03341,,(C48 H28 O32 Zr6)n,RUBTAK,0.4,0.9,Zr-FUM is Zr-fumarate MOF; RUBTAK is closest available Zr carboxylate,knowledge_match,(C48 H28 O32 Zr6)n,True
tbo-MOF-3,NIST-MATDB-6f2de59bc9a4aafa57769c230fce91ab,10.1039/C4ra12432d,,C54 H30 Cu6 O24,QUJRUK,0.75,0.5,Programmatic formula search: C54 H30 Cu6 O24 → QUJRUK (stoich conf=0.75),formula_search,(C9 H5 Cu1 N5 O4)n,True
CID-6,NIST-MATDB-6f8faf90a064fc80f3d14ecbf2b2827d,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
UTSA-10a,NIST-MATDB-71334e26f762777895a284849f14ca16,10.1063/1.4897351,,C6 H4 O4 Zn1,ZEQYON,0.75,0.5,Programmatic formula search: C6 H4 O4 Zn1 → ZEQYON (stoich conf=0.75),formula_search,(C6 H4 N6 O4 Zn1)n,False
Zn-MOF-74,NIST-MATDB-71d6fc9e1d75f65e8a04544608290958,10.1002/Aic.14467,,"(C8 H6 O8 Zn2)n,6.6n(H2 O1)",ORIVOC,0.95,1.0,Direct CSD synonym → ORIVOC,synonym_match,"(C8 H6 O8 Zn2)n,6.6n(H2 O1)",False
UiO-66-(OH)2-NO2,NIST-MATDB-721e3d3b75333a1264f6f76660fa126d,10.1021/acs.iecr.5b04061,,(C48 H28 O32 Zr6)n,RUBTAK,0.45,0.9,UiO-66 variant; parent structure RUBTAK,knowledge_match,(C48 H28 O32 Zr6)n,True
Zr-BDC-NH2,NIST-MATDB-7260126cb90f3346413c0b89538b70a9,10.1021/acs.iecr.7b03341,,(C48 H28 O32 Zr6)n,RUBTAK,0.5,0.9,Zr-BDC-NH2 = UiO-66-NH2; using parent UiO-66 RUBTAK (Zr6 framework),knowledge_match,(C48 H28 O32 Zr6)n,True
Zn4O,NIST-MATDB-73875395ea6add86b0f24072ddc472e5,10.1007/s10450-014-9620-1,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IFP-6,NIST-MATDB-757e083bd4519b0600923bdfe2a89432,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-2',NIST-MATDB-7a6c5ef61582a13f273203d99661f16f,10.1016/j.micromeso.2010.10.048,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
PCN-16,NIST-MATDB-7bf7c552e533131e05103e2410893349,10.1021/acs.jpcc.6b10751,,C24 H20 Cu3 O16,XUSZET,0.703,0.5,Programmatic formula search: C24 H20 Cu3 O16 → XUSZET (stoich conf=0.703),formula_search,"(C24 H20 Cu4 N4 O16 S4 Zr3)n,3(C3 H6 O1),2(H2 O1)",True
MOF-1C'-Li,NIST-MATDB-7cbc8489b9167ea2715313a978d69d2d,10.1016/j.micromeso.2010.10.048,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Co21-IRMOF-1,NIST-MATDB-8147d90c17de4f9d0e013c7cb9739025,10.1021/La100423a,,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",EDUSIF,0.5,0.9,Co21-IRMOF-1 is Co-doped IRMOF-1; best match is parent IRMOF-1 EDUSIF,knowledge_match,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",True
"Cu(1,3-BDC)(H2O)",NIST-MATDB-83889f5abb4062381c9056f5eab9c54f,10.1039/C3ce40838h,,C8 H6 Cu1 O4,ZEQMEN,0.75,0.5,Programmatic formula search: C8 H6 Cu1 O4 → ZEQMEN (stoich conf=0.75),formula_search,(C16 H12 Cu2 N6 O8)n,False
DATPIM,NIST-MATDB-8b5bb23b7f541f7e0b45123d40a1f92e,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
UMCM-150,NIST-MATDB-8b8f5dc21e8758d0adfbc6da4cee39a6,10.1007/s10934-015-0060-4,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
UTSA-50a,NIST-MATDB-8d3db4b0d98c04559d08b18dabab1a76,10.1039/C2ta00155a,,Cu6 C18 H12 O12 N6,PASFIA,0.675,0.5,Programmatic formula search: Cu6 C18 H12 O12 N6 → PASFIA (stoich conf=0.675),formula_search,"(C12 H4 Cu4 N4 O8)n,1.5n(H2 O1)",False
ZIF-2,NIST-MATDB-907b7388fd2992b2f049c1ef1d5f832d,10.1007/s10934-015-0060-4,,"(C12 H12 N8 Zn2)n,3n(C3 H7 N1 O1)",VEJYIT,0.95,1.0,Direct CSD synonym → VEJYIT,synonym_match,"(C12 H12 N8 Zn2)n,3n(C3 H7 N1 O1)",False
CID-5/6,NIST-MATDB-908f4b2f9675c1eb4abe63b937c38c2f,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
IRMOF-3,NIST-MATDB-96713fc6845e0ffe5a35364c2d59e6dc,10.1002/cctc.201400056,,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",EDUSIF,0.5,0.9,IRMOF-3 = Zn4O(NH2-BDC)3; structurally related to IRMOF-1 EDUSIF,knowledge_match,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",True
IFP-2,NIST-MATDB-9cf0eed0d37bb03d1c01fb61e843146d,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
{[Cu4(dpdo)12][H(H2O)27(CH3CN)12][PW12O40]3}n,NIST-MATDB-a2c836dbf063e02dd55ffb87b1bc1557,10.1016/j.inoche.2014.09.020,,C120 H84 Cu4 N12 O12,TATLEJ,0.65,0.5,Programmatic formula search: C120 H84 Cu4 N12 O12 → TATLEJ (stoich conf=0.65),formula_search,"(C30 H21 Cu1 N3 O5)n,0.25(H2 O1)",True
MOF-508,NIST-MATDB-a4b3fc60364cef8a9eb12e7bbc908a8b,10.1021/Ja904782h,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Zr-BDC-NO2,NIST-MATDB-a5336c251c5fe46b747733c4c3e2d501,10.1021/acs.iecr.7b03341,,(C48 H28 O32 Zr6)n,RUBTAK,0.5,0.9,Zr-BDC-NO2 = UiO-66-NO2; using parent UiO-66 RUBTAK,knowledge_match,(C48 H28 O32 Zr6)n,True
COMOC-2,NIST-MATDB-a6f101f386dee100047fcaf572ce237c,10.1021/acs.langmuir.5b00655,,C16 H10 V1 O4,OCOSEG,0.656,0.5,Programmatic formula search: C16 H10 V1 O4 → OCOSEG (stoich conf=0.656),formula_search,(C16 H10 Cl4 N2 O3 V1)n,True
IRMOF-8-NO2,NIST-MATDB-ac3cdaec8e45fd06779a77980de301cb,10.1016/j.micromeso.2013.04.023,,"(C36 H18 O13 Zn4)n,6n(C5 H11 N1 O1)",EDUTUS,0.6,0.9,IRMOF-8-NO2 is a functionalized IRMOF-8; best available CSD match,knowledge_match,"(C36 H18 O13 Zn4)n,6n(C5 H11 N1 O1)",True
Co8-IRMOF-1,NIST-MATDB-aecf0542bc62d6c0f4551f33aed5f06e,10.1021/La100423a,,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",EDUSIF,0.5,0.9,Co8-IRMOF-1 is Co-doped IRMOF-1; best match is parent IRMOF-1 EDUSIF,knowledge_match,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",True
ELM-11,NIST-MATDB-af8457b5d2d66c70cbef8276ab19ed04,10.1016/j.jcis.2009.03.020,,"(C20 H16 B2 Cu1 F8 N4)n,2n(C4 H10)",LOMNOS,0.65,0.9,ELM-11 syn matches LOMNOS (n-butane adduct of [Cu(BF4)2(bipy)2]),knowledge_match,"(C20 H16 B2 Cu1 F8 N4)n,2n(C4 H10)",False
ZIF-100,NIST-MATDB-b2f286918e50470b61010736dea3b873,10.1039/c4ta06763k,,"(C133 H77 Cl19 N38 O1 Zn10)n,31.25n(H2 O1)",NOFQEF,0.95,1.0,Direct CSD synonym → NOFQEF,synonym_match,"(C133 H77 Cl19 N38 O1 Zn10)n,31.25n(H2 O1)",True
MIL-47,NIST-MATDB-b848f05ba9fb26cdd50755863b377c56,10.1002/Aic.14467,,"(C112 H56 O70 V14)n,10(C8 H6 O4)",HEJPIZ,0.95,1.0,Direct CSD synonym → HEJPIZ,synonym_match,"(C112 H56 O70 V14)n,10(C8 H6 O4)",False
NU-125,NIST-MATDB-b970cc46b139824b51520d18a9b63146,10.1002/anie.201408464,,(C72 H42 Cu6 N18 O30)n,REWNEO,0.95,1.0,Direct CSD synonym → REWNEO,synonym_match,(C72 H42 Cu6 N18 O30)n,False
pmg-MOF-5,NIST-MATDB-ba2d93a0187e6a0517be60f2a6733755,10.1038/srep12045,,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",EDUSIF,0.5,0.9,pmg-MOF-5 is modified MOF-5 = IRMOF-1; best match EDUSIF,knowledge_match,"(C24 H12 O13 Zn4)n,7n(C5 H11 N1 O1),3n(H2 O1)",True
CD-MOF-2,NIST-MATDB-bbcac700aa70a474a0e175f62e1368a4,10.1021/Ja402315d,,(C18 H18 Cd1 N4 O4)n,CILDOT,0.95,1.0,Direct CSD synonym → CILDOT,synonym_match,(C18 H18 Cd1 N4 O4)n,False
JUC-132,NIST-MATDB-bc67bb25855d7be2699e74c6aba03a65,10.1039/c5cc01281c,,C36 H12 Cd2 O24,TUTMAZ,0.656,0.5,Programmatic formula search: C36 H12 Cd2 O24 → TUTMAZ (stoich conf=0.656),formula_search,"(C18 H6 Cd2 Cl1 O12 2-)n,H18 Co1 N6 2+,3(H2 O1)",False
Tb-pek-MOF-1,NIST-MATDB-be9f51ea48c4eeb348d95a383edddd8a,10.1021/jacs.5b00450,,C36 H24 Tb15 O50,JICJIR,0.537,0.5,Programmatic formula search: C36 H24 Tb15 O50 → JICJIR (stoich conf=0.537),formula_search,"(C10 H8 O26 Tb4)n,6(H2 O1)",True
Fe-soc-MOF-1b,NIST-MATDB-bec23a40457923a212907f42684c0e5c,10.1021/acs.jced.1c00951,,(C138 H86 Cl2 Fe6 O30)n,QEPQOU,0.7,0.9,Fe-soc-MOF-1 found via CSD synonym → QEPQOU (Fe6 soc-topology),knowledge_match,(C138 H86 Cl2 Fe6 O30)n,True
JUC-506,NIST-MATDB-c2b5d87b4072e605416be9f1f4ba0712,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-2'-Li,NIST-MATDB-c66fcb7fe4e6e8bddff9867285addb18,10.1016/j.micromeso.2010.10.048,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
PKU-17,NIST-MATDB-c7cd24c3054ed101925efb252b6d2449,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MIL-100(V),NIST-MATDB-cb327448137b4899eea8cf7f5217ca95,10.1016/j.micromeso.2011.12.001,,C18 H6 V3 O12,ONAMAT,0.625,0.5,Programmatic formula search: C18 H6 V3 O12 → ONAMAT (stoich conf=0.625),formula_search,(C12 H8 O8 V2)n,False
Cu(hfipbb)(H2hfipbb)0.5,NIST-MATDB-cbf640c765cd8e230699065a4c386824,10.1002/anie.200503503,,C16 H8 Cu1 F12 O4,ADAQEB01,0.675,0.5,Programmatic formula search: C16 H8 Cu1 F12 O4 → ADAQEB01 (stoich conf=0.675),formula_search,(C15 H8 Cu1 F12 N2 O4)n,False
Al-BDC,NIST-MATDB-cce03d7a2de79334704ac30e9b3ab673,10.1016/j.micromeso.2016.01.030,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Al-soc-MOF-1d,NIST-MATDB-cd7853a0fd2fae367334f38213532022,10.1021/acs.jced.1c00951,,(C58 H40 Al4 N8 O16)n,QOXTIJ,0.45,0.9,Previously identified with confidence 0.45; keeping as borderline match,knowledge_match,(C58 H40 Al4 N8 O16)n,True
"CAU-10-2,4-pydc",NIST-MATDB-d67ff0a735e121bfdc20c0b492b7a5fb,,,C10 H6 Al O6,TIVPEX,0.656,0.5,Programmatic formula search: C10 H6 Al O6 → TIVPEX (stoich conf=0.656),formula_search,"(C30 H18 Al3 F3 O15)n,1.41(H2 O1)",True
(me2NH2)6[In10(TTCA)12]*24DMF*15H2O,NIST-MATDB-dc1f4b7ddd96245d3704815ee72b638d,10.1021/Ic501413r,,C36 H18 In10 N3 O36,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-14,NIST-MATDB-ddd6f2d174f6d5cc75ee1fda94840dd8,10.1002/chem.201402923,,(C108 H72 Cu6 O30)n,QOWRAV02,0.95,1.0,Direct CSD synonym → QOWRAV02,synonym_match,(C108 H72 Cu6 O30)n,True
Zn-DABCO,NIST-MATDB-df647d61b00b35b8b88ae26030802346,10.1002/ceat.201300046,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
PCN-26,NIST-MATDB-e1f63ee5fa8513c0b29865329f746fb4,10.1007/s10934-015-0060-4,,C27 H15 Cu3 O6,UHOCEB02,0.75,0.5,Programmatic formula search: C27 H15 Cu3 O6 → UHOCEB02 (stoich conf=0.75),formula_search,(C9 H5 Cu1 N3 O2)n,False
IFP-3,NIST-MATDB-e2fe5e4435ba5ba0dafc424ee5fd5a1f,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-1M',NIST-MATDB-e3d41515552e2ff3025163484768aab2,10.1016/j.micromeso.2010.10.048,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
DUT-25,NIST-MATDB-e7c1a673818ca05ad7638253e9b7cbc3,10.1002/chem.201202352,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MOF-508b,NIST-MATDB-eb8a03810908350733a3ad317d9a5927,10.1002/anie.200502844,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
Cu(BF4)2(bpy)2,NIST-MATDB-ec7a61a3cdcf887e5c56f0d182f1049a,10.1016/j.micromeso.2012.01.008,,C12 H8 Cu1 N2,ZIDCUO,0.75,0.5,Programmatic formula search: C12 H8 Cu1 N2 → ZIDCUO (stoich conf=0.75),formula_search,(C12 H8 Cu1 N2 O4 S1)n,True
Cu-SDU-1,NIST-MATDB-ed5049cd0f3b495ea431f5c70dd110be,10.1021/Ic5017092,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
UTSA,NIST-MATDB-f168f08e72b4714243e42c649168c63b,10.1021/acs.jpcc.6b10751,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
JUC-505,NIST-MATDB-f1902ca926ea66cb5f819b7766269096,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
MIL-160,NIST-MATDB-fa9eafbe42016145ad7734b8daead8fa,10.1002/adma.201502418,,(C6 H3 Al1 O6)n,PIBZUY,0.95,1.0,Direct CSD synonym → PIBZUY,synonym_match,(C6 H3 Al1 O6)n,False
IFP-4,NIST-MATDB-fc8e6b6eceda03b926e9e91b738e16f4,,,,,0.0,0.0,"Unresolved: no synonym, no knowledge match, no formula candidate",unresolved,,
